Type d'amélioration	Nom	Coût	Description	Personnage unique concerné	Limité à un seul exemplaire par vaisseau	Restreint à un camp	Restreint à un vaisseau	Taille minimale autorisée	Taille maximale autorisée
Bombe	Bombes à protons	5	Quand vous révélez votre cadran de manœuvres, vous pouvez défausser cette carte pour larguer un marqueur de bombe à protons. Ce marqueur explose à la fin de la phase d'activation.		False				
Bombe	Charges sismiques	2	Quand vous révélez votre cadran de manœuvres, vous pouvez défausser cette carte pour larguer un marqueur de charge sismique. Ce marqueur explose à la fin de la phase d'activation.		False				
Bombe	Mines de proximité	3	Nouvelle action disponible : défaussez cette carte pour larguer un marqueur de mine de proximité. Quand le socle ou le gabarit de manœuvre d'un vaisseau chevauche ce marqueur, ce marqueur explose.		False				
Canon	Canon ionique	3	Nouvelle attaque secondaire disponible : attaquez un vaisseau. Si cette attaque touche, le défenseur subit un dégât et reçoit un marqueur ionique. Ensuite, annulez tous les résultats des dés.		False				
Canon	Canon laser lourd	7	Nouvelle attaque secondaire disponible : attaquez un vaisseau. Juste après avoir lancé vos dés d'attaque, vous devez changer tous vos résultats de touche critique en résultats de touche normale.		False				
Droïde	Astromech R2	1	Considérez toutes les manœuvres à vitesse 1 ou 2 comme des manœuvres vertes.		False				
Droïde	Astromech R5	1	Pendant la phase de dénouement (après les combats), choisissez une de vos cartes dégâts face visible assortie du trait "Vaisseau", et retournez-la face cachée.		False				
Droïde	R2-D2	4	Après avoir exécuté une manœuvre verte, vous pouvez récupérer un bouclier (sans pouvoir dépasser votre valeur maximale de boucliers).	R2-D2	False				
Droïde	R2-D6	1	Votre bandeau d'amélioration gagne l'icône d'amélioration "Talent". Vous ne pouvez pas équiper cette amélioration si vous avez déjà une icône d'amélioration "Talent" ou si votre valeur de pilotage est de 2 ou moins.	R2-D6	False				
Droïde	R2-F2	3	Nouvelle action disponible : augmentez votre valeur d'agilité de 1 jusqu'à la fin de ce tour de jeu.	R2-F2	False				
Droïde	R3-A2	2	Quand vous déclarez la cible de votre attaque, si le défenseur est dans votre arc de tir, vous pouvez recevoir un marqueur de stress pour que le défenseur en reçoive un aussi.	R3-A2	False				
Droïde	R4-D6	1	Quand vous êtes touché par une attaque ayant généré au moins trois résultats de touche normale non annulés, vous pouvez annuler les résultats que vous souhaitez jusqu'à ce qu'il n'en reste que deux. Pour chaque résultat annulé de la sorte, recevez un marqueur de stress.	R4-D6	False				
Droïde	R5-D8	3	Nouvelle action disponible : lancez un dé de défense. Sur un résultat d'évasion ou de concentration, défaussez une de vos cartes de dégâts face cachée.	R5-D8	False				
Droïde	R5-K6	2	Après avoir utilisé votre acquisition de cible, lancez un dé de défense. Sur un résultat d'évasion, verrouillez aussitôt le même vaisseau. Vous ne pouvez cependant pas utiliser cette nouvelle acquisition de cible durant cette attaque.	R5-K6	False				
Droïde	R5-P9	3	A la fin de la phase de combat, vous pouvez dépenser un de vos marqueurs de concentration pour récupérer un bouclier (jusqu'à concurrence de votre valeur maximale de boucliers).	R5-P9	False				
Equipage	"Leebo"	2	Nouvelle action disponible : effectuez une action d'accélération gratuite. Ensuite, recevez un marqueur de stress.	"Leebo"	False	Alliance Rebelle			
Equipage	Agent de renseignement	1	Au début de la phase d'activation, choisissez un vaisseau ennemi situé à portée comprise entre 1 et 2. Vous pouvez regarder la manœuvre choisie sur le cadran de ce vaisseau.		False				
Equipage	Canonnier	5	Après avoir effectué une attaque qui ne touche pas, vous pouvez immédiatement effectuer une attaque d'arme principale. Vous ne pouvez pas effectuer d'autre attaque ce tour-ci.		False				
Equipage	Carlist Rieekan	3	Au début de la phase d'activation, vous pouvez défausser cette carte pour traiter la valeur de pilotage de chaque vaisseau allié comme si elle s'élevait à la valeur 12, jusqu'à la fin de la phase.	Carlist Rieekan	False	Alliance Rebelle		Immense	Immense
Equipage	Chewbacca	4	Quand vous recevez une carte de dégâts, vous pouvez la défausser sur-le-champ et récupérer un bouclier. Ensuite, défaussez cette carte d'amélioration.	Chewbacca	False	Alliance Rebelle			
Equipage	Copilote mercenaire	2	Quand vous attaquez à portée 3, vous pouvez échanger un de vos résultats de touche normale contre un résultat de touche critique.		False				
Equipage	Dark Vador	3	Après avoir effectué une attaque contre un vaisseau ennemi, vous pouvez subir deux dégâts pour infliger un dégât critique à cet appareil.	Dark Vador	False	Empire			
Equipage	Dash Rendar	2	Vous pouvez effectuer des attaques tout en chevauchant un obstacle. Vos attaques ne peuvent pas être gênées.	Dash Rendar	False	Alliance Rebelle			
Equipage	Droïde de réparation WED-15	2	Nouvelle action disponible : dépensez 1 en énergie pour défausser une de vos cartes de dégâts face cachée, ou dépensez 3 en énergie pour défausser une de vos cartes de dégâts face visible.		False			Immense	Immense
Equipage	Ingénieur en armement	3	Vous pouvez verrouiller deux cibles (une seule acquisition de cible par vaisseau ennemi) ; c'est à dire, que pour une action d'acquisition de cible, vous pouvez verrouiller deux vaisseaux différents.		False				
Equipage	Jan Dodonna	6	Quand un autre vaisseau allié situé à portée 1 attaque, il peut échanger un de ces résultats de touche normale contre un résultat de touche critique.	Jan Dodonna	False	Alliance Rebelle		Immense	Immense
Equipage	Jan Ors	2	Une fois par tour, quand un vaisseau allié situé à portée comprise entre 1 et 3 effectue une action de concentration ou reçoit un marqueur de concentration, vous pouvez assigner à ce vaisseau un marqueur d'évasion à la place.	Jan Ors	False	Alliance Rebelle			
Equipage	Kyle Katarn	3	Après avoir retiré un marqueur de stress de votre vaisseau, vous pouvez assigner un marqueur de concentration à votre vaisseau.	Kyle Katarn	False	Alliance Rebelle			
Equipage	Lando Calrissian	3	Nouvelle action disponible : lancez deux dés de défense. Pour chaque résultat de concentration, assignez un marqueur de concentration à votre vaisseau. Pour chaque résultat d'évasion, assignez un marqueur d'évasion à votre vaisseau.	Lando Calrissian	False	Alliance Rebelle			
Equipage	Luke Skywalker	7	Quand vous effectuez une attaque qui ne touche pas, vous pouvez immédiatement effectuer une attaque d'arme principale. Vous pouvez échanger un résultat de concentration contre un résultat de touche normale. Vous ne pouvez pas effectuer d'autre attaque ce tour-ci.	Luke Skywalker	False	Alliance Rebelle			
Equipage	Navigateur	3	Quand vous révélez une manœuvre, vous pouvez tourner le cadran sur une autre manœuvre ayant la même direction. Vous ne pouvez pas tourner le cadran sur une manœuvre rouge si vous avez au moins un marqueur de stress.		False				
Equipage	Nien Numb	1	Vous pouvez traiter toutes les manœuvres "en avant" comme des manœuvres vertes.	Nien Numb	False	Alliance Rebelle			
Equipage	Officier en reconnaissance	3	Quand vous effectuez une action de concentration, assignez un marqueur de concentration supplémentaire à votre vaisseau.		False				
Equipage	Pilote instructeur	4	Quand vous vous défendez, vous pouvez relancer un de vos résultats de concentration. Si la valeur de pilotage de l'attaquant est de 2 ou moins, vous pouvez relancer un dé de vos résultats vierges à la place.		False				
Equipage	Prisonnier rebelle	3	Une fois par tour de jeu, le premier vaisseau qui vous déclare comme la cible d'une attaque reçoit aussitôt un marqueur de stress.		False	Empire			
Equipage	Tacticien	2	Après que vous avez effectué une attaque contre un vaisseau situé dans votre arc de tir à portée 2, ce vaisseau reçoit un marqueur de stress.		False				
Equipage	Toryn Farr	6	Nouvelle action disponible : dépensez n'importe quelle quantité d'énergie pour choisir autant de vaisseaux ennemis situés à portée comprise entre 1 et 2. Retirez tous les marqueurs de concentration, d'évasion et d'acquisition de cible bleus de ces vaisseaux.	Toryn Farr	False	Alliance Rebelle		Immense	Immense
Matériel de cargaison	Amplificateur Comm	4	Nouvelle action disponible : dépensez 1 en énergie pour retirer tous les marqueurs de stress d'un vaisseau allié situé à portée comprise entre 2 et 3. Ensuite assignez un marqueur de concentration à ce vaisseau.		False				
Matériel de cargaison	Booster	3	Juste avant de dévoiler votre cadran de manœuvres, vous pouvez dépenser 1 en énergie pour exécuter une manœuvre "en avant 1" blanche. Vous ne pouvez pas utiliser cette capacité si elle vous fait chevaucher un autre vaisseau.		True				
Matériel de cargaison	Brouilleur de fréquence	4	Quand vous effectuez une action de brouillage, choisissez un vaisseau ennemi qui n'a pas de marqueur de stress et qui se situe à portée 1 du vaisseau brouillé. Le vaisseau choisi reçoit un marqueur de stress.		True				
Matériel de cargaison	Compartiments supplémentaires	1	Une fois par tour, quand vous êtes censé recevoir une carte de dégâts face visible, vous pouvez la piocher dans le paquet de dégâts de poupe ou de proue.		False		Transport moyen GR-75		
Matériel de cargaison	Emetteur EM	3	Quand vous gênez une attaque, le défenseur lance trois dés de défense supplémentaires (au lieu d'un seul).		True				
Matériel de cargaison	Générateur de bouclier auxiliaire	3	A la fin de chaque tour, vous pouvez dépenser 1 en énergie pour récupérer un bouclier (jusqu'à concurrence de votre valeur maximale de boucliers).		True				
Matériel de cargaison	Outils de Slicer	7	Nouvelle action disponible : choisissez un ou plusieurs vaisseaux ennemis situés à portée comprise entre 1 et 3 ayant un marqueur de stress. Pour chaque vaisseau choisi, vous pouvez dépenser 1 en énergie pour forcer ce vaisseau à subir un dégât normal.		False				
Matériel de cargaison	Projecteur de boucliers	4	Quand un vaisseau ennemi devient le vaisseau actif durant la phase de combat, vous pouvez dépenser 3 en énergie pour l'obliger à vous attaquer, si possible, jusqu'à la fin de la phase.		False				
Matériel de cargaison	Réserves de gaz Tibanna	4	Nouvelle action disponible : vous pouvez défausser cette carte pour gagner 3 en énergie.		True				
Missile	Missiles à concussion	4	Nouvelle attaque secondaire disponible sur cible en acquisition : utilisez votre acquisition de cible et défaussez cette carte pour effectuer cette attaque. Vous pouvez échanger un de vos résultats vierges contre un résultat de touche normale.		False				
Missile	Missiles à pulsations ioniques	3	Nouvelle attaque secondaire disponible sur cible en acquisition : défaussez cette carte pour effectuer cette attaque. Si cette attaque touche, le défenseur subit un dégât et reçoit deux marqueurs ioniques. Ensuite, annulez le résultat de tous les dés.		False				
Missile	Missiles à tête chercheuse	5	Nouvelle attaque secondaire disponible sur cible en acquisition : défaussez cette carte pour effectuer cette attaque. Le défenseur ne peut pas utiliser de marqueurs d'évasion durant cette attaque.		False				
Missile	Missiles d'assaut	5	Nouvelle attaque secondaire disponible sur cible en acquisition : utilisez votre acquisition de cible et défaussez cette carte pour effectuer cette attaque. Si cette attaque touche, chaque autre vaisseau situé à portée 1 du défenseur subit un dégât (face cachée).		False				
Missile	Missiles groupés	4	Nouvelle attaque secondaire disponible sur cible en acquisition : utilisez votre acquisition de cible et défaussez cette carte pour effectuer cette attaque deux fois.		False				
Missile	Radoub à Chardaan	-2	Cette carte permet de réduire le coût du A-wing en sacrifiant de sa puissance offensive.		False		A-wing		
Missile	Roquettes à protons	3	Nouvelle attaque secondaire disponible avec "concentration" : utilisez votre marqueur de concentration et défaussez cette carte pour effectuer cette attaque. Vous pouvez lancer un nombre de dés d'attaque additionnels égal à votre valeur d'agilité, jusqu'à un maximum de trois dés additionnels.		False				
Modification	Accélérateur de particules de stygium	2	Quand vous vous désoccultez ou effectuez une action d'occultation, vous pouvez effectuer une action d'évasion gratuite.		False				
Modification	Boucliers améliorés	4	Augmentez votre valeur de boucliers de 1.		False				
Modification	B-wing/E2	1	Votre bandeau d'amélioration gagne l'icône d'amélioration "équipage".		False		B-wing		
Modification	Contre-mesures	3	Au début de la phase de combat, vous pouvez défausser cette carte pour augmenter votre valeur d'agilité jusqu'à la fin du tour. Ensuite, vous pouvez retirer une acquisition de cible ennemie de votre vaisseau.		False			Grand	Grand
Modification	Coque améliorée	3	Augmentez votre valeur de coque de 1.		False				
Modification	Interface expérimentale	3	Une fois par tour, après avoir effectué une action, vous pouvez effectuer une action gratuite d'une de vos cartes d'amélioration équipée ayant en préambule l'indicateur "Action". Ensuite recevez un marqueur de stress.		False				
Modification	Lasers antipoursuite	2	Quand un vaisseau ennemi exécute une manœuvre qui l'oblige à chevaucher votre appareil, lancez un dé d'attaque. Sur un résultat de touche normale ou de touche critique, le vaisseau ennemi subit 1 dégât.		False			Grand	Grand
