Camp	Taille	Vaisseau	Unique	Pilote	Coût	Valeur de pilotage	Valeur d'attaque de l'arme principale	Valeur d'agilité	Points de structure	Valeur de bouclier	Energie accumulable	Capacité	Commentaire	Action 1	Action 2	Action 3	Action 4	Amélioration 1	Amélioration 2	Amélioration 3	Amélioration 4	Amélioration 5	Amélioration 6	Amélioration 7	Amélioration 8	Amélioration 9	Amélioration 10	Amélioration 11	Amélioration 12
Alliance Rebelle	Normal	Chasseur de têtes Z-95	False	Pilote de l'escadron Bandit	12	2	2	2	2	2	0		L'AF4 fut la toute dernière génération du modèle chasseur de têtes, produit durant très longtemps. Robuste et bon marché, il fut très populaire auprès des indépendants, comme la Rébellion et le Soleil Noir.	Acquisition de cible	Concentration			Missile	Modification	Titre									
Alliance Rebelle	Normal	Chasseur de têtes Z-95	False	Pilote de l'escadron Tala	13	4	2	2	2	2	0		Le Z-95-AF4 produit par Incom Corporation a grandement inspiré la conception du X-wing T-65.	Acquisition de cible	Concentration			Missile	Modification	Titre									
Alliance Rebelle	Normal	Chasseur de têtes Z-95	True	Lieutenant Blount	17	6	2	2	2	2	0	Quand vous attaquez, le défenseur est touché par votre attaque, même s'il ne subit pas de dégâts.		Acquisition de cible	Concentration			Missile	Modification	Talent	Titre								
Alliance Rebelle	Normal	Chasseur de têtes Z-95	True	Airen Cracken	19	8	2	2	2	2	0	Après avoir effectué une attaque, vous pouvez choisir un autre vaisseau allié situé à portée 1. Ce vaisseau peut effectuer une action gratuite.		Acquisition de cible	Concentration			Missile	Modification	Talent	Titre								
Alliance Rebelle	Normal	A-wing	False	Pilote sur prototype	17	1	2	3	2	2	0		Vu ses commandes sensibles et son extrême manoeuvrabilité, seuls les meilleurs pilotes osent prendre place dans le cockpit d'un A-wing.	Accélération	Acquisition de cible	Concentration	Évasion	Missile	Modification	Titre									
Alliance Rebelle	Normal	A-wing	False	Pilote de l'escadron Vert	19	3	2	3	2	2	0		Conçu par le général Dodonna, l'intercepteur RZ-1 A-wing prouva ses qualités en neutralisant des destroyers stellaires durant la bataille d'Endor.	Accélération	Acquisition de cible	Concentration	Évasion	Missile	Modification	Talent	Titre								
Alliance Rebelle	Normal	A-wing	True	Gemmer Sojan	22	5	2	3	2	2	0	Tant que vous êtes à portée 1 d'au moins un vaisseau ennemi, augmentez de 1 votre agilité.		Accélération	Acquisition de cible	Concentration	Évasion	Missile	Modification	Titre									
Alliance Rebelle	Normal	A-wing	True	Jake Farrell	24	7	2	3	2	2	0	Après avoir effectué une action de concentration ou reçu un marqueur de concentration, vous pouvez effectuer une action gratuite d'accélération ou de tonneau.		Accélération	Acquisition de cible	Concentration	Évasion	Missile	Modification	Talent	Titre								
Alliance Rebelle	Normal	Y-wing	False	Pilote de l'escadron Or	18	2	2	1	5	3	0		Le très polyvalent et fiable Y-wing BTL-A4 fut le principal chasseur de la Rébellion jusqu'à l'arrivée du X-wing T-65.	Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille	Torpille	Tourelle						
Alliance Rebelle	Normal	Y-wing	False	Pilote de l'escadron Gris	20	4	2	1	5	3	0		Grâce à sa vitesse, sa robustesse et son armement, le Y-wing resta l'un des principaux chasseurs de la flotte rebelle longtemps après avoir pris sa retraite officielle.	Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille	Torpille	Tourelle						
Alliance Rebelle	Normal	Y-wing	True	"Dutch" Vander	23	6	2	1	5	3	0	Après avoir verrouillé une cible, choisissez un vaisseau allié situé à une portée 1 ou 2. Cet autre vaisseau peut aussitôt verrouiller une cible.		Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille	Torpille	Tourelle						
Alliance Rebelle	Normal	Y-wing	True	Horton Salm	25	8	2	1	5	3	0	Quand vous attaquez à portée 2 ou 3, vous pouvez relancer vos résultats vierges.		Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille	Torpille	Tourelle						
Alliance Rebelle	Normal	X-wing	False	Pilote débutant	21	2	3	2	3	2	0		Conçu par Incom Corporation, le X-wing T-65 compta rapidement parmi les appareils militaires les plus efficaces de la galaxie et fut d'un réel secours pour la Rébellion.	Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille								
Alliance Rebelle	Normal	X-wing	False	Pilote de l'escadron Rouge	23	4	3	2	3	2	0		Pensée et conçue comme une unité d'élite pour les combats spaciaux, l'escadron Rouge comprenait certains des meilleurs pilotes de l'Alliance Rebelle.	Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille								
Alliance Rebelle	Normal	X-wing	True	Tarn Mison	23	3	3	2	3	2	0	Quand un vaisseau ennemi vous déclare comme cible d'une attaque, vous pouvez le verrouiller.		Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille								
Alliance Rebelle	Normal	X-wing	True	"Hobbie" Klivian	25	5	3	2	3	2	0	Quand vous effectuez ou dépensez une acquisition de cible, vous pouvez retirer un marqueur de stress de votre vaisseau.		Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille								
Alliance Rebelle	Normal	X-wing	True	Biggs Darklighter	25	5	3	2	3	2	0	Les autres vaisseaux alliés situés à portée 1 ne peuvent être les cibles d'attaques si l'assaillant est en mesure de vous attaquer à la place.		Acquisition de cible	Concentration			Droïde	Modification	Titre	Torpille								
Alliance Rebelle	Normal	X-wing	True	Jek Porkins	26	7	3	2	3	2	0	Quand vous recevez un marqueur de stress, vous pouvez le retirer et lancer un dé d'attaque. Sur un résultat de touche normale, infligez une carte de dégâts face cachée à ce vaisseau.		Acquisition de cible	Concentration			Droïde	Modification	Talent	Titre	Torpille							
Alliance Rebelle	Normal	X-wing	True	Garven Dreis	26	6	3	2	3	2	0	Après avoir utilisé un marqueur de concentration, vous pouvez placer ce dernier sur tout autre vaisseau allié situé à portée 1 ou 2 (plutôt que de le défausser).		Acquisition de cible	Concentration			Droïde	Modification	Talent	Titre	Torpille							
Alliance Rebelle	Normal	X-wing	True	Luke Skywalker	28	8	3	2	3	2	0	Quand vous défendez, vous pouvez échanger un de vos résultats de concentration par une esquive.		Acquisition de cible	Concentration			Droïde	Modification	Talent	Titre	Torpille							
Alliance Rebelle	Normal	X-wing	True	Wedge Antilles	29	9	3	2	3	2	0	Quand vous attaquez, réduisez la valeur d'agilité du défenseur de 1 (jusqu'à un minimum de 0)		Acquisition de cible	Concentration			Droïde	Modification	Talent	Titre	Torpille							
Alliance Rebelle	Normal	X-wing	True	Wes Janson	29	8	3	2	3	2	0	Après avoir effectué une attaque, vous pouvez retirer un marqueur de concentration, d'évasion ou d'acquisition de cible (pas un marqueur rouge) au défenseur.		Acquisition de cible	Concentration			Droïde	Modification	Talent	Titre	Torpille							
Alliance Rebelle	Normal	B-wing	False	Pilote de l'escadron Bleu	22	2	3	1	3	5	0		Grâce à son impressionnant panel d'armes lourdes et à ses boucliers très résistants, le B-wing s'est imposé comme le plus redoutable chasseur d'assaut de l'Alliance.	Acquisition de cible	Concentration	Tonneau		Canon	Modification	Senseur	Titre	Torpille	Torpille						
Alliance Rebelle	Normal	B-wing	False	Pilote de l'escadron Dague	24	4	3	1	3	5	0		Un système de stabilisation gyroscopique unique enveloppe le cockpit du B-wing et assure la stabilité du pilote.	Acquisition de cible	Concentration	Tonneau		Canon	Modification	Senseur	Titre	Torpille	Torpille						
Alliance Rebelle	Normal	B-wing	True	Nera Dantels	26	5	3	1	3	5	0	Vous pouvez effectuer des attaques d'arme secondaire de type torpille contre des vaisseaux ennemis situés en dehors de votre arc de tir.		Acquisition de cible	Concentration	Tonneau		Canon	Modification	Senseur	Talent	Titre	Torpille	Torpille					
Alliance Rebelle	Normal	B-wing	True	Ibtisam	28	6	3	1	3	5	0	Quand vous attaquez ou défendez, si vous avez au moins un marqueur de stress, vous pouvez relancer un de vos dés.		Acquisition de cible	Concentration	Tonneau		Canon	Modification	Senseur	Talent	Titre	Torpille	Torpille					
Alliance Rebelle	Normal	B-wing	True	Keyan Farlander	29	7	3	1	3	5	0	Quand vous attaquez, vous pouvez retirer un marqueur de stress pour changer tous vos résultats de concentration en résultats de type touche normale.		Acquisition de cible	Concentration	Tonneau		Canon	Modification	Senseur	Talent	Titre	Torpille	Torpille					
Alliance Rebelle	Normal	B-wing	True	Ten Numb	31	8	3	1	3	5	0	Quand vous attaquez, un de vos résultats de touche critique ne peut pas être annulé par les dés de défense.		Acquisition de cible	Concentration	Tonneau		Canon	Modification	Senseur	Talent	Titre	Torpille	Torpille					
Alliance Rebelle	Normal	K-wing	False	Pilote de l'escadron Warden	23	2	2	1	5	4	0		Le K-wing de Koensayr Manufacturing pouvait s'enorgueillir de son moteur à accélération avancé (MASL) et de dix-huit points d'emport, un véritable tour de force alors, ce qui lui conférait une vitesse et une puissance de feu inégalées.	Acquisition de cible	Concentration	SLAM		Bombe	Bombe	Equipage	Missile	Modification	Titre	Torpille	Torpille	Tourelle			
Alliance Rebelle	Normal	K-wing	False	Pilote de l'escadron Guardian	25	4	2	1	5	4	0		L'accélération surprenante, le blindage épais et l'artillerie dévastatrice du K-wing firent de cet appareil un incontournable des opérations de guérilla.	Acquisition de cible	Concentration	SLAM		Bombe	Bombe	Equipage	Missile	Modification	Titre	Torpille	Torpille	Tourelle			
Alliance Rebelle	Normal	K-wing	True	Esege Tuketu	28	6	2	1	5	4	0	Quand un autre vaissseau allié situé à portée 1 ou 2 attaque, il peut traiter vos marqueurs de concentration comme s'ils lui appartenaient.		Acquisition de cible	Concentration	SLAM		Bombe	Bombe	Equipage	Missile	Modification	Titre	Torpille	Torpille	Tourelle			
Alliance Rebelle	Normal	K-wing	True	Miranda Doni	29	8	2	1	5	4	0	Une fois par tour quand vous atttaquez, vous pouvez soit utiliser 1 bouclier pour lancer 1 dé d'attaque supplémentaire, soit lancer 2 dé d'attaque en moins pour récupérer 1 bouclier.		Acquisition de cible	Concentration	SLAM		Bombe	Bombe	Equipage	Missile	Modification	Titre	Torpille	Torpille	Tourelle			
Alliance Rebelle	Normal	E-wing	False	Pilote de l'escadron Valet	27	1	3	3	2	3	0		Tout spécialement conçu pour combiner les meilleurs atouts de l'A-wing et de l'X-wing, l'E-wing disposait d'une puissance de feu, d'une vitesse et d'une manoeuvrabilité supérieures.	Acquisition de cible	Concentration	Évasion	Tonneau	Droïde	Modification	Senseur	Titre	Torpille							
Alliance Rebelle	Normal	E-wing	False	Pilote de l'escadron Lune noire	29	3	3	3	2	3	0		Originellement conçu pour fonctionner avec des astromechs R7, le E-wing finit par être modifié pour acceuillir des R2 et des R5.	Acquisition de cible	Concentration	Évasion	Tonneau	Droïde	Modification	Senseur	Titre	Torpille							
Alliance Rebelle	Normal	E-wing	True	Ethan A'baht	32	5	3	3	2	3	0	Quand un vaisseau ennemi situé dans votre arc de tir et à portée 1-3 se défend, l'attaquant peut changer un de ses résultats de touche normale en résultat de touche critique.		Acquisition de cible	Concentration	Évasion	Tonneau	Droïde	Modification	Senseur	Talent	Titre	Torpille						
Alliance Rebelle	Normal	E-wing	True	Corran Horn	35	8	3	3	2	3	0	Au début de la phase de dénouement, vous pouvez effectuer une attaque. Vous ne pouvez pas attaquer au tour suivant.		Acquisition de cible	Concentration	Évasion	Tonneau	Droïde	Modification	Senseur	Talent	Titre	Torpille						
Alliance Rebelle	Grand	YT-1300	False	Contrebandier de la Bordure Extérieure	27	1	3	1	8	5	0		Conçu pour sa robustesse et sa conception modulaire, le YT-1300 est l'un des transporteurs les plus populaires et répandus de la galaxie.	Acquisition de cible	Concentration			Equipage	Equipage	Modification	Titre								
Alliance Rebelle	Grand	YT-1300	True	Chewbacca	42	5	3	1	8	5	0	Quand vous recevez une carte de dégâts face visible, retournez-la aussitôt face cachée (sans résoudre sa capacité).		Acquisition de cible	Concentration			Equipage	Equipage	Missile	Modification	Talent	Titre						
Alliance Rebelle	Grand	YT-1300	True	Lando Calrissian	44	7	3	1	8	5	0	Après avoir exécuté une manœuvre verte, choisissez un autre vaisseau allié situé à portée 1. Ce vaisseau peut effectuer une action gratuite figurant dans sa barre d'action.		Acquisition de cible	Concentration			Equipage	Equipage	Missile	Modification	Talent	Titre						
Alliance Rebelle	Grand	YT-1300	True	Han Solo	46	9	3	1	8	5	0	Quand vous attaquez, vous pouvez relancer tous vos dés. Si vous décidez de le faire, vous devez relancer autant de vos dés que possible.		Acquisition de cible	Concentration			Equipage	Equipage	Missile	Modification	Talent	Titre						
Alliance Rebelle	Grand	YT-2400	False	Frontalier de l'espace sauvage	30	2	2	2	5	5	0		Certes, le cargo léger YT-2400 possédait une soute de bonne taille, mais celle-ci était souvent encombrée de systèmes d'armement modifiés et de moteurs énormes.	Acquisition de cible	Concentration	Tonneau		Canon	Equipage	Missile	Modification	Titre							
Alliance Rebelle	Grand	YT-2400	True	Eaden Vrill	32	3	2	2	5	5	0	Quand vous effectuez une attaque d'arme principale contre un vaisseau sous l'effet du stress, lancez un dé d'attaque additionnel.		Acquisition de cible	Concentration	Tonneau		Canon	Equipage	Missile	Modification	Titre							
Alliance Rebelle	Grand	YT-2400	True	"Leebo"	34	5	2	2	5	5	0	Quand vous recevez une carte de dégâts face visible, piochez une carte de dégâts additionnelle ; choisissez-en une des deux que vous résolvez, et défaussez l'autre.		Acquisition de cible	Concentration	Tonneau		Canon	Equipage	Missile	Modification	Talent	Titre						
Alliance Rebelle	Grand	YT-2400	True	Dash Rendar	36	7	2	2	5	5	0	Vous pouvez ignorer les obstacles durant la phase d'activation (mouvement) et quand vous effectuez des actions.		Acquisition de cible	Concentration	Tonneau		Canon	Equipage	Missile	Modification	Talent	Titre						
Alliance Rebelle	Immense	Transport moyen GR-75	False	/	30	3	0	0	8	4	4		Le GR-75 joua un rôle essentiel dans l'évacuation de Hoth, puisqu'il transporta une bonne partie du personnel et du matériel de l'Alliance Rebelle au point de rendez-vous.	Brouillage	Coordination	Récupération	Renforcement	Equipage	Equipage	Matériel de cargaison	Matériel de cargaison	Matériel de cargaison	Modification	Titre					
Alliance Rebelle	Immense	Corvette CR90	False	/	90	4	4	0	16	8	5	Votre arme principale tire a une portée comprise entre 3 et 5. Quand vous attaquez avec votre arme principale, vous pouvez dépenser 1 en énergie pour lancer un dé d'attaque supplémentaire.	Equipé de onze turbine ioniques Girodyne Ter58 à haute vélocité et d'une solide coque, le CR90 était apprécié de l'Alliance Rebelle pour sa vitesse subliminique et sa robustesse.	Acquisition de cible	Coordination	Récupération	Renforcement	Equipage	Equipage	Equipe technique	Equipe technique	Equipe technique	Matériel de cargaison	Modification	Titre	Tourelle d'artillerie	Tourelle d'artillerie	Tourelle d'artillerie	
Empire	Normal	Chasseur TIE	False	Pilote de l'académie	12	1	2	3	3	0	0		Développé par Sienar Fleet Systems, ce TIE/In rapide et mannnniable devint le principal chasseur de l'Empire lors de la Guerre civile galactique.	Concentration	Évasion	Tonneau		Modification	Titre										
Empire	Normal	Chasseur TIE	False	Pilote de l'escadron Obsidian	13	3	2	3	3	0	0		Le moteur Ionique Jumelé des chasseurs TIE a été conçu pour la vitesse, ce qui classe ces derniers parmi les vaisseaux les plus maniables jamais produits.	Concentration	Évasion	Tonneau		Modification	Titre										
Empire	Normal	Chasseur TIE	False	Pilote de l'escadron Noir	14	4	2	3	3	0	0		Le chasseur TIE n'a ni boucliers ni systèmes de survie, si bien que les pilotes ne peuvent compter que sur eux-mêmes.	Concentration	Évasion	Tonneau		Modification	Talent	Titre									
